float-col,integer-col,string-col,extra-string-col,extra-integer-col
99.91,5350,Lawrence,Lois,Philippines
73.61,1249,Hamilton,Evelyn,Portugal
45.29,8356,Wheeler,Sarah,Portugal
3.53,9678,Kelley,Jacqueline,Philippines
36.6,9897,Meyer,Todd,Portugal
34.99,9681,Hunter,David,China
87.46,8459,Cooper,Gary,Indonesia
13.58,8442,Kelley,Jeffrey,Burkina Faso
65.61,9815,Tucker,Fred,China
60,674,Anderson,Clarence,Russia
24.38,1103,Ortiz,Nicole,Portugal
50.64,2788,Garza,Eugene,Uruguay
71,6128,Arnold,Patricia,China
95.96,601,Welch,Patrick,Zimbabwe
16.32,2444,Parker,Kelly,Canada
58.52,8735,Franklin,Ernest,Tanzania
14.09,1008,Sullivan,Jason,Indonesia
26.24,6930,Evans,Pamela,Portugal
48.5,2280,Lawrence,Dorothy,Portugal
97.38,7049,Baker,Theresa,Albania
59.52,9656,Shaw,Martha,Russia
74.49,6571,Bell,Wayne,Venezuela
11.15,1250,Young,Nancy,Peru
30.46,2200,Hughes,Ryan,China
63.17,1573,Thompson,Evelyn,Indonesia
65.64,9807,Fields,Beverly,Colombia
96.64,4190,Phillips,Ann,Cuba
58.48,268,Elliott,Debra,Russia
47.14,8541,Wood,Matthew,Indonesia
14.13,8081,Palmer,Brenda,Mongolia
52.5,2731,Evans,Lillian,Philippines
6.57,4834,Lopez,Andrew,Philippines
94.23,5618,Tucker,Stephanie,North Korea
62.49,7464,Robinson,Carol,China
81.01,7760,Oliver,Jeremy,Armenia
69.96,3354,Montgomery,Clarence,Vietnam
62.7,3798,Morrison,Rebecca,Poland
82.47,6300,Cruz,Brenda,France
99.73,9311,Howell,Chris,East Timor
39.51,4400,Kim,Russell,Portugal
48.7,1453,Mcdonald,Marilyn,China
52.81,9226,Howard,Christina,China
33.58,3470,Burke,Shirley,Botswana
90.31,9338,Cunningham,Roy,Indonesia
82.39,2589,Riley,Matthew,Russia
29.56,7345,Kelly,Heather,Portugal
32.83,6029,Stephens,Elizabeth,Portugal
82.95,9905,Rice,Samuel,Russia
70.48,2065,Flores,Louise,France
55.48,2970,Davis,Norma,Costa Rica
48.46,847,Mills,Alan,Brazil
53.46,534,Jordan,Juan,Indonesia
71.71,8269,Stevens,Carlos,Portugal
9.97,27,Alexander,Paul,Australia
99.91,9797,Welch,Jeremy,Portugal
84.54,4495,Moore,Mark,Spain
81.65,9279,Hughes,Roger,Spain
29.43,8690,Oliver,Andrea,Ukraine
71.6,3594,Stone,Douglas,Portugal
29.8,2628,Perkins,Amy,Philippines
57.09,8530,Fields,Melissa,Portugal
43.32,2113,Hill,Jeffrey,Portugal
92.12,5844,Garcia,Steven,Brazil
82.78,9866,Boyd,Gloria,China
51.41,5702,Arnold,Patrick,Indonesia
49.87,3715,Vasquez,Jessica,Argentina
93.14,571,Moore,Lawrence,Madagascar
17.5,5029,Powell,Sharon,China
91.56,4185,Burton,Sarah,Indonesia
41.1,5838,Hayes,Sandra,Portugal
52.1,6067,Harper,Mildred,Kazakhstan
34.76,5737,Johnson,Diana,Colombia
99.63,4034,Sanders,Carol,China
27.6,4433,Nelson,Louis,Russia
20.82,7639,Cunningham,Justin,China
12.37,1551,Garrett,Joseph,China
