ip-10-0-0-225: udbd-10010 stopped.
ip-10-0-0-225: Starting udbd-10010.
ip-10-0-0-225: udbd-10010 (16838) started.
"userid","ptime","articleid","price","refid"
"4084",1409529602,23,2.73,0
"4084",1409575116,38,2.4100000000000001,47
"4084",1409598835,46,1.4099999999999999,44
"4084",1409962065,5,2.1400000000000001,0
"4084",1410040242,17,2.1099999999999999,3
"4084",1410582340,19,1.5900000000000001,0
"4084",1410605079,44,3.29,19
"4084",1410621336,42,2.5499999999999998,45
"4084",1411008997,9,2.4700000000000002,24
"4084",1411019490,29,3.7999999999999998,8
"4084",1411071900,8,1.3899999999999999,14
"4084",1411700129,36,2.1600000000000001,5
"4084",1411735872,12,2.3599999999999999,5
"2362",1409529657,46,1.4099999999999999,0
"2362",1409540341,10,1.73,46
"2362",1409581102,22,1.26,24
"2362",1409584616,21,2.8500000000000001,22
"2362",1410023843,50,1.55,17
"2362",1410050566,15,1.8100000000000001,0
"2362",1410096458,29,1.8,15
"2362",1410415207,2,1.4299999999999999,28
"2362",1410458562,32,1.4199999999999999,34
"2362",1410740165,49,2.1200000000000001,50
"2362",1410803382,45,3.6499999999999999,35
"2362",1410805642,49,2.1200000000000001,21
"2362",1411212988,10,2.23,5
"2362",1411639914,19,1.8700000000000001,26
"2362",1411685137,9,1.2,29
"2362",1411721372,22,1.6699999999999999,36
"2362",1411732287,28,2.1000000000000001,21
"2362",1411752870,44,2.3300000000000001,37
"2362",1411961839,22,1.6100000000000001,30
"2362",1412017541,21,1.3100000000000001,37
"2362",1412111434,32,1.05,46
"2454",1409529670,46,1.4099999999999999,0
"2454",1409591320,42,1.52,48
"2454",1409599593,16,2.8999999999999999,14
"2454",1409632370,12,2.1800000000000002,20
"2454",1409700970,4,1.9399999999999999,28
"2454",1409914271,31,3.52,21
"2454",1410140465,8,1.3999999999999999,28
"2454",1410181042,14,2.1400000000000001,8
"2454",1410194953,1,3.9199999999999999,23
"2454",1410206601,24,4.6500000000000004,41
"2454",1410326784,2,4.9299999999999997,25
"2454",1410330588,45,2.46,2
"2454",1410372633,38,3.6000000000000001,14
"2454",1410603637,13,2.5499999999999998,28
"2454",1410919083,41,2.0099999999999998,0
"2454",1412060059,5,2.0899999999999999,12
"4818",1409529677,4,1.3600000000000001,0
"4818",1409588329,7,2.3199999999999998,32
"4818",1409881225,46,1.0700000000000001,0
"4818",1409935169,49,3.1200000000000001,46
"5658",1409529683,6,2.8500000000000001,0
"5658",1409535653,40,2.3900000000000001,6
"5658",1409548324,28,1.4299999999999999,5
