"month","pagecount","hitcount","pagebytes"
"November",243618,293783,3549767702
"December",38211,47784,902886393
"day","pagecount","hitcount","pagebytes"
"09",51272,52406,641433060
"08",28181,29268,764523149
"07",27271,30359,686445597
"04",23752,27813,809556874
"28",21717,22855,131901737
"05",18829,23812,792291499
"03",13673,17196,724356846
"06",12356,15174,688806794
"27",11045,12308,114486372
"02",7532,10160,236385272
"25",5849,7771,111589388
"13",5715,7279,121505543
"16",4398,5102,124902963
"15",4292,5460,135443502
"23",3297,3893,80636384
"17",3247,5803,180802538
"19",3245,5544,149660748
"14",3226,5417,148449839
"18",3185,5597,187556807
"29",3123,4313,129969725
"26",2959,4839,117710784
"21",2949,5502,126993093
"01",2788,4386,154091276
"22",2729,3567,90336055
"10",2725,5126,739684172
"11",2668,4389,106119845
"24",2661,4617,109080792
"30",2643,3846,146661737
"12",2577,4296,109920791
"20",1925,3469,86318209
"dayoftheweek","pagecount","hitcount","pagebytes"
"Sun",67218,71779,1113263167
"Fri",63627,73925,1164624423
"Thu",41916,50022,1091933937
"Sat",41353,46438,1217706021
"Tue",24715,35066,1194534752
"Wed",22290,33265,1219445385
"Mon",20710,31072,1746113706
"hour","pagecount","hitcount","pagebytes"
"04",14289,17230,370845946
"06",13792,16091,397147079
"05",13756,16173,302177884
"03",13652,16239,343625185
"02",13649,16642,355244764
"07",13570,16388,331616561
"08",13224,15392,387916661
"19",13132,15453,405347215
"20",13087,15936,329985055
"21",12973,15783,352039022
"09",12895,14557,358790618
"01",12218,15526,332522451
"10",12080,14419,380911463
"00",12027,14827,356924004
"18",11673,14036,424887202
"23",11397,14017,317187214
"22",11206,13769,266744343
"17",10553,12581,535608335
"14",10108,12533,310158577
"15",9632,12490,416867724
"16",9336,12313,473924864
"13",8908,10725,330836991
"11",7465,9378,370592197
"12",7207,9069,295720036
